Start,Finish,Steps (count)
07-May-2015 00:00,08-May-2015 00:00,9011.0
08-May-2015 00:00,09-May-2015 00:00,6455.0
09-May-2015 00:00,10-May-2015 00:00,11951.0
10-May-2015 00:00,11-May-2015 00:00,1458.0
11-May-2015 00:00,12-May-2015 00:00,7668.0
12-May-2015 00:00,13-May-2015 00:00,9226.0
13-May-2015 00:00,14-May-2015 00:00,1056.0
14-May-2015 00:00,15-May-2015 00:00,8133.0
15-May-2015 00:00,16-May-2015 00:00,7020.0
16-May-2015 00:00,17-May-2015 00:00,2687.0
17-May-2015 00:00,18-May-2015 00:00,3122.0
18-May-2015 00:00,19-May-2015 00:00,7475.0
19-May-2015 00:00,20-May-2015 00:00,5735.0
20-May-2015 00:00,21-May-2015 00:00,4684.0
21-May-2015 00:00,22-May-2015 00:00,4196.0
22-May-2015 00:00,23-May-2015 00:00,6011.0
23-May-2015 00:00,24-May-2015 00:00,3042.0
24-May-2015 00:00,25-May-2015 00:00,2492.0
25-May-2015 00:00,26-May-2015 00:00,3625.0
26-May-2015 00:00,27-May-2015 00:00,4429.0
27-May-2015 00:00,28-May-2015 00:00,5056.0
28-May-2015 00:00,29-May-2015 00:00,4359.0
29-May-2015 00:00,30-May-2015 00:00,9275.0
30-May-2015 00:00,31-May-2015 00:00,391.0
31-May-2015 00:00,01-Jun-2015 00:00,1365.0
01-Jun-2015 00:00,02-Jun-2015 00:00,605.0
02-Jun-2015 00:00,03-Jun-2015 00:00,4200.0
03-Jun-2015 00:00,04-Jun-2015 00:00,6024.0
04-Jun-2015 00:00,05-Jun-2015 00:00,8037.0
05-Jun-2015 00:00,06-Jun-2015 00:00,3076.0
06-Jun-2015 00:00,07-Jun-2015 00:00,12721.6721982028
07-Jun-2015 00:00,08-Jun-2015 00:00,1833.32780179723
08-Jun-2015 00:00,09-Jun-2015 00:00,4425.0
09-Jun-2015 00:00,10-Jun-2015 00:00,9661.0
10-Jun-2015 00:00,11-Jun-2015 00:00,3863.0
11-Jun-2015 00:00,12-Jun-2015 00:00,4797.0
12-Jun-2015 00:00,13-Jun-2015 00:00,5620.0
13-Jun-2015 00:00,14-Jun-2015 00:00,12.0
14-Jun-2015 00:00,15-Jun-2015 00:00,1399.0
15-Jun-2015 00:00,16-Jun-2015 00:00,4546.0
16-Jun-2015 00:00,17-Jun-2015 00:00,1259.0
17-Jun-2015 00:00,18-Jun-2015 00:00,7117.0
